<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.06.12	00:03:30.496	1.35362	1.35554			6
2025.06.12	00:04:00.271	1.35362				2
2025.06.12	00:04:30.531		1.35554			4
2025.06.12	00:05:00.046	1.35362				2
2025.06.12	00:05:05.592	1.35383	1.35541			6
2025.06.12	00:06:00.069	1.35383				2
2025.06.12	00:06:04.644	1.35392	1.35550			6
2025.06.12	00:07:00.010	1.35392				2
2025.06.12	00:07:04.885		1.35550			4
2025.06.12	00:07:35.292	1.35393				2
2025.06.12	00:08:00.198	1.35393				2
2025.06.12	00:08:05.129		1.35550			4
2025.06.12	00:09:00.266	1.35432	1.35557			6
2025.06.12	00:09:00.882	1.35424				2
2025.06.12	00:09:04.558	1.35373	1.35543			6
2025.06.12	00:09:08.561	1.35372				2
2025.06.12	00:09:12.248	1.35382				2
2025.06.12	00:09:41.479	1.35384				2
2025.06.12	00:10:00.253	1.35396				2
2025.06.12	00:10:01.181	1.35397				2
2025.06.12	00:10:04.562		1.35539			4
2025.06.12	00:10:07.953	1.35396				2
2025.06.12	00:10:11.329	1.35382				2
2025.06.12	00:10:17.491	1.35376				2
2025.06.12	00:10:22.100	1.35377				2
2025.06.12	00:10:33.812	1.35378				2
2025.06.12	00:10:45.826	1.35379				2
2025.06.12	00:10:52.599	1.35389				2
2025.06.12	00:10:54.142	1.35400				2
2025.06.12	00:10:59.054	1.35379				2
2025.06.12	00:10:59.669	1.35400				2
2025.06.12	00:11:00.286	1.35400				2
2025.06.12	00:11:04.592		1.35539			4
2025.06.12	00:11:06.134	1.35380				2
2025.06.12	00:11:07.051	1.35400				2
2025.06.12	00:11:07.669	1.35401				2
2025.06.12	00:11:12.911	1.35380				2
2025.06.12	00:11:13.834	1.35401				2
2025.06.12	00:11:20.290	1.35381				2
2025.06.12	00:11:21.208	1.35403				2
2025.06.12	00:11:27.354	1.35382				2
2025.06.12	00:11:28.281	1.35404				2
2025.06.12	00:11:35.964	1.35398				2
2025.06.12	00:11:36.265	1.35399				2
2025.06.12	00:11:36.574	1.35400				2
2025.06.12	00:11:37.189	1.35402				2
2025.06.12	00:11:37.806	1.35403				2
2025.06.12	00:11:39.039	1.35402				2
2025.06.12	00:12:00.264	1.35402				2
2025.06.12	00:12:04.870		1.35539			4
2025.06.12	00:12:07.328	1.35403				2
2025.06.12	00:12:08.253	1.35400				2
2025.06.12	00:12:13.479	1.35402				2
2025.06.12	00:12:21.469	1.35401				2
2025.06.12	00:12:44.526	1.35399				2
2025.06.12	00:12:47.289	1.35398				2
2025.06.12	00:12:49.136	1.35397				2
2025.06.12	00:12:49.753	1.35400				2
2025.06.12	00:12:50.057	1.35396				2
2025.06.12	00:13:00.206	1.35396				2
2025.06.12	00:13:05.138		1.35539			4
2025.06.12	00:14:00.207	1.35396				2
2025.06.12	00:14:05.441		1.35539			4
2025.06.12	00:15:00.228	1.35396				2
2025.06.12	00:15:05.465		1.35539			4
2025.06.12	00:16:00.220	1.35396				2
2025.06.12	00:16:05.760		1.35539			4
2025.06.12	00:17:00.194	1.35396				2
2025.06.12	00:17:04.642		1.35538			4
2025.06.12	00:18:00.271	1.35396				2
2025.06.12	00:18:04.881		1.35538			4
2025.06.12	00:19:00.199	1.35396				2
2025.06.12	00:19:05.115		1.35538			4
2025.06.12	00:20:00.166	1.35396				2
2025.06.12	00:20:04.467		1.35537			4
2025.06.12	00:20:50.862	1.35391				2
2025.06.12	00:21:00.079	1.35391				2
2025.06.12	00:21:04.687		1.35537			4
2025.06.12	00:22:00.247	1.35391				2
2025.06.12	00:22:04.857		1.35537			4
2025.06.12	00:23:00.111	1.35391				2
2025.06.12	00:23:05.015		1.35537			4
2025.06.12	00:23:42.456	1.35392				2
2025.06.12	00:23:43.374	1.35391				2
2025.06.12	00:24:00.149	1.35391				2
2025.06.12	00:24:05.059		1.35537			4
2025.06.12	00:24:39.746	1.35388				2
2025.06.12	00:25:00.303	1.35388				2
2025.06.12	00:25:04.600		1.35534			4
2025.06.12	00:25:07.990	1.35382				2
2025.06.12	00:25:09.834	1.35385				2
2025.06.12	00:25:12.899	1.35388				2
2025.06.12	00:26:00.186	1.35388				2
2025.06.12	00:26:04.803		1.35534			4
2025.06.12	00:26:56.772	1.35387				2
2025.06.12	00:27:00.155	1.35387				2
2025.06.12	00:27:05.069		1.35534			4
2025.06.12	00:28:00.272	1.35387				2
2025.06.12	00:28:05.157		1.35534			4
2025.06.12	00:29:00.215	1.35387				2
2025.06.12	00:29:00.826		1.35543			4
2025.06.12	00:29:01.686		1.35534			4
2025.06.12	00:30:00.075	1.35387				2
2025.06.12	00:30:01.918		1.35534			4
2025.06.12	00:30:31.425		1.35533			4
2025.06.12	00:30:31.732		1.35534			4
2025.06.12	00:31:00.004	1.35387				2
2025.06.12	00:31:31.964		1.35534			4
2025.06.12	00:32:00.235	1.35387				2
2025.06.12	00:32:32.208		1.35534			4
2025.06.12	00:32:54.632		1.35532			4
2025.06.12	00:33:00.528	1.35387				2
2025.06.12	00:33:40.279	1.35388				2
2025.06.12	00:33:51.375	1.35389				2
2025.06.12	00:33:57.074		1.35532			4
2025.06.12	00:34:01.874	1.35389				2
2025.06.12	00:34:06.673	1.35390				2
2025.06.12	00:34:21.380	1.35391				2
2025.06.12	00:34:21.853	1.35390				2
2025.06.12	00:34:36.377	1.35391				2
2025.06.12	00:34:45.585	1.35392				2
2025.06.12	00:34:59.639		1.35532			4
2025.06.12	00:35:02.746	1.35392				2
2025.06.12	00:35:08.474	1.35393				2
2025.06.12	00:35:16.043	1.35392				2
2025.06.12	00:35:17.780	1.35393				2
2025.06.12	00:35:20.927		1.35531			4
2025.06.12	00:35:34.763	1.35394				2
2025.06.12	00:35:36.612		1.35530			4
2025.06.12	00:35:37.531		1.35529			4
2025.06.12	00:35:38.461		1.35528			4
2025.06.12	00:35:39.073		1.35527			4
2025.06.12	00:35:48.351		1.35524			4
2025.06.12	00:35:50.503		1.35531			4
2025.06.12	00:35:54.808		1.35530			4
2025.06.12	00:35:57.269		1.35531			4
2025.06.12	00:36:00.045	1.35394				2
2025.06.12	00:36:02.815	1.35395				2
2025.06.12	00:36:03.430		1.35526			4
2025.06.12	00:36:03.739		1.35525			4
2025.06.12	00:36:06.218		1.35524			4
2025.06.12	00:36:12.980		1.35531			4
2025.06.12	00:36:35.150		1.35528			4
2025.06.12	00:36:36.681		1.35525			4
2025.06.12	00:36:38.522	1.35396				2
2025.06.12	00:36:43.753		1.35523			4
2025.06.12	00:36:48.074		1.35531			4
2025.06.12	00:37:00.977	1.35396				2
2025.06.12	00:37:17.476	1.35397				2
2025.06.12	00:37:25.450	1.35396				2
2025.06.12	00:37:28.874	1.35397				2
2025.06.12	00:37:51.380		1.35531			4
2025.06.12	00:38:01.278	1.35397				2
2025.06.12	00:38:20.935		1.35530			4
2025.06.12	00:38:26.184	1.35398				2
2025.06.12	00:38:26.802	1.35399				2
2025.06.12	00:38:32.039	1.35397	1.35524			6
2025.06.12	00:38:32.362	1.35405				2
2025.06.12	00:38:33.580	1.35397				2
2025.06.12	00:38:33.919	1.35398				2
2025.06.12	00:38:34.759	1.35397				2
2025.06.12	00:38:36.566	1.35396	1.35521			6
2025.06.12	00:38:39.861	1.35417				2
2025.06.12	00:38:44.115	1.35396				2
2025.06.12	00:38:51.973	1.35397				2
2025.06.12	00:38:56.478	1.35398				2
2025.06.12	00:38:58.411	1.35397	1.35524			6
2025.06.12	00:39:00.097	1.35396				2
2025.06.12	00:39:01.414	1.35397				2
2025.06.12	00:39:02.108	1.35396	1.35521			6
2025.06.12	00:39:03.242	1.35422				2
2025.06.12	00:39:03.546	1.35397				2
2025.06.12	00:39:05.045		1.35522			4
2025.06.12	00:39:05.475	1.35398				2
2025.06.12	00:39:06.647	1.35414				2
2025.06.12	00:39:08.167	1.35397				2
2025.06.12	00:39:08.546	1.35398				2
2025.06.12	00:39:09.850	1.35409				2
2025.06.12	00:39:10.169	1.35397				2
2025.06.12	00:39:11.542	1.35420				2
2025.06.12	00:39:11.846	1.35398				2
2025.06.12	00:39:13.267	1.35410				2
2025.06.12	00:39:13.573	1.35398				2
2025.06.12	00:39:21.286	1.35399	1.35523			6
